text,label
"Kerry Promises Protection for Consumers (AP) AP - With promises to curb credit card fees and protect home buyers and military families from unfair lending practices, Democratic candidate John Kerry is making a pitch aimed squarely at voters' checkbooks.",Politics
"The wife, a stranger, the bully and a bullet Marlene Brookes is a shirt-presser, a quiet, conscientious woman who has looked after Bay Street #39;s demanding clients for more than eight years.",Politics
Ainslie wins second Olympics yachting gold (AFP) AFP - Britain's Ben Ainslie collected his second successive Olympic Games yachting gold medal when he took victory in the Finn class.,Politics
"Policeman accuses Gujarat BJP Gujarat  politicians prevented police from carrying out their duties during riots in 2002, a senior policeman says.",Politics
"Greek Drugs Embarrassment Overshadows Phelps  ATHENS (Reuters) - Greece was rocked by the threat of being  stripped of an Athens Games medal and the host nation's team  manager offered to quit on Friday, as doping overshadowed  Michael Phelps' drive to be Olympic swimming's top medal  winner.",Sport
Just don #39;t do it: China bans Nike #39;s basketball advert A Nike television advert showing US basketball star LeBron James in battle with a cartoon kung fu master has been banned in China.,Sport
Cabinet OKs Payment to Jewish Settlers Senior Israeli Cabinet ministers Tuesday approved the payment of cash advances to Jewish settlers who will be removed from their homes under Prime Minister Ariel Sharon's plan to leave the Gaza Strip - the government's first concrete step toward withdrawal.,Politics
"Nepal asks Maoists for talks With the Maoist blockade of Kathmandu completing its second day, the Nepal government on Thursday asked the rebels to resume peace talks. ",Politics
"UN buildings attacked in west Afghanistan after governor dismissed HERAT, Afghanistan : Two United Nations buildings in the western Afghan city of Herat were attacked by demonstrators protesting the dismissal of governor Ismael Khan, UN and police officials told AFP.",Politics
"RED SOX 8, ATHLETICS 3 Pedro Martnez hardly had to outpitch Tim Hudson. Hudson, Oakland #39;s All-Star right-hander, staked Boston to a huge lead himself.",Sport
WHAT THE PAPERS SAY THE SUN: Glenn Hoddle is being lined up for a shock return to Southampton. Also: John Toshack has emerged as the No 1 choice to become Wales manager after Mark Hughes was named Blackburn #39;s new boss last night.,Sport
"Notre Dame 28, No. 8 Michigan 20 Freshman Darius Walker had two fourth-quarter touchdowns and the Fighting Irish renewed hope for a turnaround season by upsetting the eighth-ranked Wolverines 28-20 on Saturday.",Sport
"Williams Thumps Schnyder, Roddick Roars On  NEW YORK (Reuters) - Serena Williams and Andy Roddick  produced some explosive tennis at the U.S. Open on Sunday as  their respective title challenges gained strength.",Sport
"Iraq Won't Send New Delegation to Najaf BAGHDAD, Iraq - Iraq's National Conference refused Wednesday to send a second delegation to the holy city of Najaf to negotiate an end to fighting between U.S. troops and loyalists of radical cleric Muqtada al-Sadr, a day after he rebuffed their demand for a meeting...",Politics
